ATTRIBUTE,DESCRIPTION,
General Settings.backup_to_remote_host,"Description: In case of the controller backup is lost or overwritten - it's an absolute necessity to have the current config saved externally. (the config can be encrypted if needed)
Recommended value/Threshold: True is recommended"
General Settings.backup_enabled,"Description: it's absolutely critical to have the config saved to protect from the controller config damaged or loss of the cotroller
Recommended value/Threshold: True is recommended"
General Settings.tenant_count,"Description: Tenant number is more informational and allows to understand the customer environment
Recommended value/Threshold: there is no specfic value that is recommended, but the maximum limit needs to be confirmed"
General Settings.default_ntp,"Description: the lack of configured time sources can cause multiple issues - from the log timing drift to the synchronization issues between NSX ALB components
Recommended value/Threshold: NTP servers need to be configured and validated"
alerts,"Description: Alerts can be critical to the performance and functionality of NSX ALB
Recommended value/Threshold: if alerts listed - they need to be troughtfully reviewed"
total_objs.VsVip_EW,"Description: East-West (within datacenter traffic) VSes are affecting overall performance of the system
Recommended value/Threshold: the value below 1500 is recommended"
total_objs.VsVip_NS,"Description: North-South (external traffic)  VSes are affecting overall performance of the system
Recommended value/Threshold: the value below 2000 is recommended"
total_objs.VrfContext,"Description: Number if VRFs is limited as it takes resources.
Recommended value/Threshold: Pre-18.x code was less than 40, lifted up to 250 in 18.x"
total_objs.Pool,"Description: We need to be aware of the amount of pools as it can cause performance hit, even there is no real number as of today
Recommended value/Threshold: 1000 pools per VS, 1000 pools in pool group"
total_objs.VIMgrVMRuntime,"Description: Number of VMs in the vSphere environment - if really high - we need to review
Recommended value/Threshold: <specify value(s) and explanation here>"
total_objs.ServiceEngineGroup,"Description: Service Engine groups should be in managable numbers - even the number doesn't have hard limit
Recommended value/Threshold: <specify value(s) and explanation here>"
total_objs.Network,"Description: Total number of networks in your vSphere environment - being mindful of that number helps to size the environment
Recommended value/Threshold: <specify value(s) and explanation here>"
total_objs.VsVip,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
total_objs.ServiceEngine,"Description: There is a limitation around total number of Ses in the environment that needs to be respcted
Recommended value/Threshold: 200 SE per environment (need to be validated"
total_objs.VIMgrVcenterRuntime,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
total_objs.VIMgrClusterRuntime,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
total_objs.VIMgrHostRuntime,"Description: Number of the hosts in vSphere environment
Recommended value/Threshold: Refer to to vSphere documentation for the details and limits"
total_objs.VirtualService,"Description: Number of Virtual services in this environment
Recommended value/Threshold: in 18.x - the limit is 1k VS per SE and 5k VS for Avi environment"
total_objs.DebugVirtualService,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
total_objs.VIMgrNWRuntime,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
total_objs.VIMgrSEVMRuntime,"Description: Total SEs running as VMs in Vmware environment
Recommended value/Threshold: limit comes to Vmware limits and 200 SEs per Avi environment limit"
SEG Info.vcpus_per_se,"Description: the both ends of the limit are important - single CPU can't be not enough, too many can be the license/resources waste
Recommended value/Threshold: 2-8 CPUs are acceptable "
SEG Info.Default-Group.placement_mode,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
SEG Info.memory_per_se,"Description: The same as SE CPU - we need to make sure we have enough memory here
Recommended value/Threshold: 2 Gb is the minimum"
SEG Info.algo,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
SEG Info.log_disksz,"Description: Please refer to https://avinetworks.com/docs/17.1/sizing-service-engines/ 
Recommended value/Threshold: 10 Gb is default limit"
SEG Info.vcenter_datastore_mode,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
SEG Info.max_scaleout_per_vs,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
SEG Info.connection_memory_percentage,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
SEG Info.extra_config_multiplier,"Description: Multiplier for extra config to support large vs/pool config.
Recommended value/Threshold: Default is 0"
SEG Info.extra_shared_config_memory,"Description: Extra config memory to support large Geo DB configuration
Recommended value/Threshold: Default is 0"
SEG Info.min_scaleout_per_vs,"Description: Minimum number of active Service Engines for the Virtual Service. Allowed values are 1-64.
Recommended value/Threshold: Depends on the fault toleration requirements and the type of cloud in use."
SEG Info.max_se,"Description: Maximum number of services engines in this group
Recommended value/Threshold: Allowed values are 0-1000. Default is 10."
SEG Info.max_vs_per_se,"Description: Maximum number of virtual services that can be placed on a single service engine.
Recommended value/Threshold: Allowed values are 1-1000. Default is 10"
SEG Info.vcenter_datastores_include,"Description: Placeholder for description of property vcenter_datastores_include of obj type ServiceEngineGroup field type str type boolean.
Recommended value/Threshold: "
SEG Info.vcenter_folder,"Description:  Folder to place all the Service Engine virtual machines in vCenter
Recommended value/Threshold: "
se_vs_distribution.Petr-se-xdbav.nw_vs,"Description: Total number of VS placed on the Service Engine
Recommended value/Threshold: <specify value(s) and explanation here>"
se_vs_distribution.Petr-se-kimwm.nw_vs,"Description: Total number of VS placed on the Service Engine
Recommended value/Threshold: <specify value(s) and explanation here>"
cluster_state.up_since,"Description: Controller Cluster up since
Recommended value/Threshold: NA"
cluster_state.progress,"Description: <put the description here>
Recommended value/Threshold: <specify value(s) and explanation here>"
cluster_state.state,"Description: Provides operational state of cluster.
Recommended value/Threshold: Depends on Cluster is single node or 3-node. Expected value for Single node is CLUSTER_UP_NO_HA and 3-node is CLUSTER_UP_HA_ACTIVE"
app_profile.total,"Description: Total number of sytem default and custom application profile
Recommended value/Threshold: NA"
app_profile.total_http,"Description: Total number of sytem default and custom  HTTP profile
Recommended value/Threshold: NA"
app_profile.no_mux_http,"Description: Count of HTTP profiles having multiplexing enabled.
Recommended value/Threshold: https://avinetworks.com/docs/18.2/connection-multiplex/"
app_profile.http_to_https,"Description: Count of HTTP profiles having http to https redirect enabled
Recommended value/Threshold: https://avinetworks.com/docs/18.2/redirect-http-to-https/"
app_profile.preserve_client_ip,"Description: Count of HTTP profiles having preserve client IP enabled
Recommended value/Threshold: https://avinetworks.com/docs/18.2/preserve-client-ip/"
net_profile.total,"Description: Total number of Network profile
Recommended value/Threshold: NA"
